"codigo_localidade"	"localidade"	"nome_localidade_pai"	"codigo_variavel"	"variavel"	"unidade"	"periodo"	"pop"	"ano"
"19"	"19"	"Amparo"	"Região de Governo de Bragança Paulista"	"55"	"População"	"Não possui unidade"	"1980-2018"	68260	"2016"
"20"	"20"	"Analândia"	"Região de Governo de Rio Claro"	"55"	"População"	"Não possui unidade"	"1980-2018"	4643	"2016"
"21"	"21"	"Andradina"	"Região de Governo de Andradina"	"55"	"População"	"Não possui unidade"	"1980-2018"	55831	"2016"
"22"	"22"	"Angatuba"	"Região de Governo de Itapeva"	"55"	"População"	"Não possui unidade"	"1980-2018"	23586	"2016"
"23"	"23"	"Anhembi"	"Região de Governo de Botucatu"	"55"	"População"	"Não possui unidade"	"1980-2018"	6269	"2016"
"24"	"24"	"Anhumas"	"Região de Governo de Presidente Prudente"	"55"	"População"	"Não possui unidade"	"1980-2018"	3877	"2016"
"25"	"25"	"Aparecida"	"Região de Governo de Guaratinguetá"	"55"	"População"	"Não possui unidade"	"1980-2018"	35432	"2016"
"26"	"26"	"Aparecida d'Oeste"	"Região de Governo de Jales"	"55"	"População"	"Não possui unidade"	"1980-2018"	4253	"2016"
"27"	"27"	"Apiaí"	"Região de Governo de Itapeva"	"55"	"População"	"Não possui unidade"	"1980-2018"	24695	"2016"
"28"	"28"	"Araçatuba"	"Região de Governo de Araçatuba"	"55"	"População"	"Não possui unidade"	"1980-2018"	187313	"2016"
"29"	"29"	"Araçoiaba da Serra"	"Região de Governo de Sorocaba"	"55"	"População"	"Não possui unidade"	"1980-2018"	30388	"2016"
"30"	"30"	"Aramina"	"Região de Governo de Franca"	"55"	"População"	"Não possui unidade"	"1980-2018"	5371	"2016"
"31"	"31"	"Arandu"	"Região de Governo de Itapeva"	"55"	"População"	"Não possui unidade"	"1980-2018"	6144	"2016"
"32"	"32"	"Araraquara"	"Região de Governo de Araraquara"	"55"	"População"	"Não possui unidade"	"1980-2018"	221205	"2016"
"33"	"33"	"Araras"	"Região de Governo de Limeira"	"55"	"População"	"Não possui unidade"	"1980-2018"	126338	"2016"
"34"	"34"	"Arealva"	"Região de Governo de Bauru"	"55"	"População"	"Não possui unidade"	"1980-2018"	8060	"2016"
"35"	"35"	"Areias"	"Região de Governo de Cruzeiro"	"55"	"População"	"Não possui unidade"	"1980-2018"	3772	"2016"
"36"	"36"	"Areiópolis"	"Região de Governo de Botucatu"	"55"	"População"	"Não possui unidade"	"1980-2018"	10719	"2016"
"37"	"37"	"Ariranha"	"Região de Governo de Catanduva"	"55"	"População"	"Não possui unidade"	"1980-2018"	9025	"2016"
"38"	"38"	"Artur Nogueira"	"Região de Governo de Campinas"	"55"	"População"	"Não possui unidade"	"1980-2018"	49620	"2016"
"39"	"39"	"Arujá"	"Região Metropolitana de São Paulo"	"55"	"População"	"Não possui unidade"	"1980-2018"	83849	"2016"
"40"	"40"	"Assis"	"Região de Governo de Assis"	"55"	"População"	"Não possui unidade"	"1980-2018"	99001	"2016"
"41"	"41"	"Atibaia"	"Região de Governo de Bragança Paulista"	"55"	"População"	"Não possui unidade"	"1980-2018"	134652	"2016"
"42"	"42"	"Auriflama"	"Região de Governo de Araçatuba"	"55"	"População"	"Não possui unidade"	"1980-2018"	14387	"2016"
"43"	"43"	"Avaí"	"Região de Governo de Bauru"	"55"	"População"	"Não possui unidade"	"1980-2018"	5158	"2016"
"44"	"44"	"Avanhandava"	"Região de Governo de Araçatuba"	"55"	"População"	"Não possui unidade"	"1980-2018"	11787	"2016"
"45"	"45"	"Avaré"	"Região de Governo de Avaré"	"55"	"População"	"Não possui unidade"	"1980-2018"	85810	"2016"
"46"	"46"	"Bady Bassitt"	"Região de Governo de São José do Rio Preto"	"55"	"População"	"Não possui unidade"	"1980-2018"	15750	"2016"
"47"	"47"	"Balbinos"	"Região de Governo de Bauru"	"55"	"População"	"Não possui unidade"	"1980-2018"	3695	"2016"
"48"	"48"	"Bálsamo"	"Região de Governo de São José do Rio Preto"	"55"	"População"	"Não possui unidade"	"1980-2018"	8397	"2016"
"49"	"49"	"Bananal"	"Região de Governo de Cruzeiro"	"55"	"População"	"Não possui unidade"	"1980-2018"	10468	"2016"
"50"	"50"	"Barão de Antonina"	"Região de Governo de Itapeva"	"55"	"População"	"Não possui unidade"	"1980-2018"	3274	"2016"
"51"	"51"	"Barbosa"	"Região de Governo de Araçatuba"	"55"	"População"	"Não possui unidade"	"1980-2018"	7002	"2016"
"52"	"52"	"Bariri"	"Região de Governo de Jaú"	"55"	"População"	"Não possui unidade"	"1980-2018"	33093	"2016"
"53"	"53"	"Barra Bonita"	"Região de Governo de Jaú"	"55"	"População"	"Não possui unidade"	"1980-2018"	35029	"2016"
"54"	"54"	"Barra do Turvo"	"Região de Governo de Registro"	"55"	"População"	"Não possui unidade"	"1980-2018"	7665	"2016"
"55"	"55"	"Barretos"	"Região de Governo de Barretos"	"55"	"População"	"Não possui unidade"	"1980-2018"	115907	"2016"
"56"	"56"	"Barrinha"	"Região de Governo de Ribeirão Preto"	"55"	"População"	"Não possui unidade"	"1980-2018"	30829	"2016"
"57"	"57"	"Barueri"	"Região Metropolitana de São Paulo"	"55"	"População"	"Não possui unidade"	"1980-2018"	255276	"2016"
"58"	"58"	"Bastos"	"Região de Governo de Tupã"	"55"	"População"	"Não possui unidade"	"1980-2018"	20267	"2016"
"59"	"59"	"Batatais"	"Região de Governo de Franca"	"55"	"População"	"Não possui unidade"	"1980-2018"	58821	"2016"
"60"	"60"	"Bauru"	"Região de Governo de Bauru"	"55"	"População"	"Não possui unidade"	"1980-2018"	356769	"2016"
"61"	"61"	"Bebedouro"	"Região de Governo de Barretos"	"55"	"População"	"Não possui unidade"	"1980-2018"	74593	"2016"
"62"	"62"	"Bento de Abreu"	"Região de Governo de Araçatuba"	"55"	"População"	"Não possui unidade"	"1980-2018"	2840	"2016"
"63"	"63"	"Bernardino de Campos"	"Região de Governo de Ourinhos"	"55"	"População"	"Não possui unidade"	"1980-2018"	10773	"2016"
"64"	"64"	"Bilac"	"Região de Governo de Araçatuba"	"55"	"População"	"Não possui unidade"	"1980-2018"	7537	"2016"
"65"	"65"	"Birigui"	"Região de Governo de Araçatuba"	"55"	"População"	"Não possui unidade"	"1980-2018"	116637	"2016"
"66"	"66"	"Biritiba-Mirim"	"Região Metropolitana de São Paulo"	"55"	"População"	"Não possui unidade"	"1980-2018"	30822	"2016"
"67"	"67"	"Boa Esperança do Sul"	"Região de Governo de Araraquara"	"55"	"População"	"Não possui unidade"	"1980-2018"	14211	"2016"
"68"	"68"	"Bocaina"	"Região de Governo de Jaú"	"55"	"População"	"Não possui unidade"	"1980-2018"	11646	"2016"
"69"	"69"	"Bofete"	"Região de Governo de Botucatu"	"55"	"População"	"Não possui unidade"	"1980-2018"	10512	"2016"
"70"	"70"	"Boituva"	"Região de Governo de Itapetininga"	"55"	"População"	"Não possui unidade"	"1980-2018"	54017	"2016"
"71"	"71"	"Bom Jesus dos Perdões"	"Região de Governo de Bragança Paulista"	"55"	"População"	"Não possui unidade"	"1980-2018"	22541	"2016"
"72"	"72"	"Borá"	"Região de Governo de Tupã"	"55"	"População"	"Não possui unidade"	"1980-2018"	809	"2016"
"73"	"73"	"Boracéia"	"Região de Governo de Jaú"	"55"	"População"	"Não possui unidade"	"1980-2018"	4568	"2016"
"74"	"74"	"Borborema"	"Região de Governo de Araraquara"	"55"	"População"	"Não possui unidade"	"1980-2018"	15045	"2016"
"75"	"75"	"Botucatu"	"Região de Governo de Botucatu"	"55"	"População"	"Não possui unidade"	"1980-2018"	136091	"2016"
"76"	"76"	"Bragança Paulista"	"Região de Governo de Bragança Paulista"	"55"	"População"	"Não possui unidade"	"1980-2018"	157759	"2016"
"77"	"77"	"Braúna"	"Região de Governo de Araçatuba"	"55"	"População"	"Não possui unidade"	"1980-2018"	5353	"2016"
"78"	"78"	"Brodowski"	"Região de Governo de Ribeirão Preto"	"55"	"População"	"Não possui unidade"	"1980-2018"	22927	"2016"
"79"	"79"	"Brotas"	"Região de Governo de Rio Claro"	"55"	"População"	"Não possui unidade"	"1980-2018"	23003	"2016"
"80"	"80"	"Buri"	"Região de Governo de Itapeva"	"55"	"População"	"Não possui unidade"	"1980-2018"	19181	"2016"
"81"	"81"	"Buritama"	"Região de Governo de Araçatuba"	"55"	"População"	"Não possui unidade"	"1980-2018"	16160	"2016"
"82"	"82"	"Buritizal"	"Região de Governo de Franca"	"55"	"População"	"Não possui unidade"	"1980-2018"	4211	"2016"
"83"	"83"	"Cabrália Paulista"	"Região de Governo de Bauru"	"55"	"População"	"Não possui unidade"	"1980-2018"	4319	"2016"
"84"	"84"	"Cabreúva"	"Região de Governo de Jundiaí"	"55"	"População"	"Não possui unidade"	"1980-2018"	46306	"2016"
"85"	"85"	"Caçapava"	"Região de Governo de São José dos Campos"	"55"	"População"	"Não possui unidade"	"1980-2018"	88913	"2016"
"86"	"86"	"Cachoeira Paulista"	"Região de Governo de Guaratinguetá"	"55"	"População"	"Não possui unidade"	"1980-2018"	31423	"2016"
"87"	"87"	"Caconde"	"Região de Governo de São João da Boa Vista"	"55"	"População"	"Não possui unidade"	"1980-2018"	18719	"2016"
"88"	"88"	"Cafelândia"	"Região de Governo de Lins"	"55"	"População"	"Não possui unidade"	"1980-2018"	17000	"2016"
"89"	"89"	"Caiabu"	"Região de Governo de Presidente Prudente"	"55"	"População"	"Não possui unidade"	"1980-2018"	4095	"2016"
"90"	"90"	"Caieiras"	"Região Metropolitana de São Paulo"	"55"	"População"	"Não possui unidade"	"1980-2018"	94994	"2016"
"91"	"91"	"Caiuá"	"Região de Governo de Presidente Prudente"	"55"	"População"	"Não possui unidade"	"1980-2018"	5381	"2016"
"92"	"92"	"Cajamar"	"Região Metropolitana de São Paulo"	"55"	"População"	"Não possui unidade"	"1980-2018"	72289	"2016"
"93"	"93"	"Cajobi"	"Região de Governo de Barretos"	"55"	"População"	"Não possui unidade"	"1980-2018"	9987	"2016"
"94"	"94"	"Cajuru"	"Região de Governo de Ribeirão Preto"	"55"	"População"	"Não possui unidade"	"1980-2018"	24758	"2016"
"95"	"95"	"Campinas"	"Região de Governo de Campinas"	"55"	"População"	"Não possui unidade"	"1980-2018"	1142620	"2016"
"96"	"96"	"Campo Limpo Paulista"	"Região de Governo de Jundiaí"	"55"	"População"	"Não possui unidade"	"1980-2018"	79446	"2016"
"97"	"97"	"Campos do Jordão"	"Região de Governo de Taubaté"	"55"	"População"	"Não possui unidade"	"1980-2018"	49219	"2016"
"98"	"98"	"Campos Novos Paulista"	"Região de Governo de Assis"	"55"	"População"	"Não possui unidade"	"1980-2018"	4705	"2016"
"99"	"99"	"Cananéia"	"Região de Governo de Registro"	"55"	"População"	"Não possui unidade"	"1980-2018"	12236	"2016"
"100"	"100"	"Cândido Mota"	"Região de Governo de Assis"	"55"	"População"	"Não possui unidade"	"1980-2018"	29976	"2016"
"101"	"101"	"Cândido Rodrigues"	"Região de Governo de Araraquara"	"55"	"População"	"Não possui unidade"	"1980-2018"	2675	"2016"
"102"	"102"	"Capão Bonito"	"Região de Governo de Itapeva"	"55"	"População"	"Não possui unidade"	"1980-2018"	46190	"2016"
"103"	"103"	"Capela do Alto"	"Região de Governo de Itapetininga"	"55"	"População"	"Não possui unidade"	"1980-2018"	19304	"2016"
"104"	"104"	"Capivari"	"Região de Governo de Piracicaba"	"55"	"População"	"Não possui unidade"	"1980-2018"	51993	"2016"
"105"	"105"	"Caraguatatuba"	"Região de Governo de Caraguatatuba"	"55"	"População"	"Não possui unidade"	"1980-2018"	110384	"2016"
"106"	"106"	"Carapicuíba"	"Região Metropolitana de São Paulo"	"55"	"População"	"Não possui unidade"	"1980-2018"	385474	"2016"
"107"	"107"	"Cardoso"	"Região de Governo de Votuporanga"	"55"	"População"	"Não possui unidade"	"1980-2018"	11759	"2016"
"108"	"108"	"Casa Branca"	"Região de Governo de São João da Boa Vista"	"55"	"População"	"Não possui unidade"	"1980-2018"	29013	"2016"
"109"	"109"	"Cássia dos Coqueiros"	"Região de Governo de Ribeirão Preto"	"55"	"População"	"Não possui unidade"	"1980-2018"	2542	"2016"
"110"	"110"	"Castilho"	"Região de Governo de Andradina"	"55"	"População"	"Não possui unidade"	"1980-2018"	19668	"2016"
"111"	"111"	"Catanduva"	"Região de Governo de Catanduva"	"55"	"População"	"Não possui unidade"	"1980-2018"	115669	"2016"
"112"	"112"	"Catiguá"	"Região de Governo de Catanduva"	"55"	"População"	"Não possui unidade"	"1980-2018"	7382	"2016"
"113"	"113"	"Cedral"	"Região de Governo de São José do Rio Preto"	"55"	"População"	"Não possui unidade"	"1980-2018"	8513	"2016"
"114"	"114"	"Cerqueira César"	"Região de Governo de Avaré"	"55"	"População"	"Não possui unidade"	"1980-2018"	18553	"2016"
"115"	"115"	"Cerquilho"	"Região de Governo de Itapetininga"	"55"	"População"	"Não possui unidade"	"1980-2018"	43949	"2016"
"116"	"116"	"Cesário Lange"	"Região de Governo de Itapetininga"	"55"	"População"	"Não possui unidade"	"1980-2018"	16659	"2016"
"117"	"117"	"Charqueada"	"Região de Governo de Piracicaba"	"55"	"População"	"Não possui unidade"	"1980-2018"	16217	"2016"
"118"	"118"	"Chavantes"	"Região de Governo de Ourinhos"	"55"	"População"	"Não possui unidade"	"1980-2018"	12179	"2016"
"119"	"119"	"Clementina"	"Região de Governo de Araçatuba"	"55"	"População"	"Não possui unidade"	"1980-2018"	7856	"2016"
"120"	"120"	"Colina"	"Região de Governo de Barretos"	"55"	"População"	"Não possui unidade"	"1980-2018"	17533	"2016"
"121"	"121"	"Colômbia"	"Região de Governo de Barretos"	"55"	"População"	"Não possui unidade"	"1980-2018"	6029	"2016"
"122"	"122"	"Conchal"	"Região de Governo de Limeira"	"55"	"População"	"Não possui unidade"	"1980-2018"	26484	"2016"
"123"	"123"	"Conchas"	"Região de Governo de Botucatu"	"55"	"População"	"Não possui unidade"	"1980-2018"	16799	"2016"
"124"	"124"	"Cordeirópolis"	"Região de Governo de Limeira"	"55"	"População"	"Não possui unidade"	"1980-2018"	23123	"2016"
"125"	"125"	"Coroados"	"Região de Governo de Araçatuba"	"55"	"População"	"Não possui unidade"	"1980-2018"	5680	"2016"
"126"	"126"	"Coronel Macedo"	"Região de Governo de Itapeva"	"55"	"População"	"Não possui unidade"	"1980-2018"	4884	"2016"
"127"	"127"	"Corumbataí"	"Região de Governo de Rio Claro"	"55"	"População"	"Não possui unidade"	"1980-2018"	3928	"2016"
"128"	"128"	"Cosmópolis"	"Região de Governo de Campinas"	"55"	"População"	"Não possui unidade"	"1980-2018"	66478	"2016"
"129"	"129"	"Cosmorama"	"Região de Governo de Votuporanga"	"55"	"População"	"Não possui unidade"	"1980-2018"	7079	"2016"
"130"	"130"	"Cotia"	"Região Metropolitana de São Paulo"	"55"	"População"	"Não possui unidade"	"1980-2018"	229300	"2016"
"131"	"131"	"Cravinhos"	"Região de Governo de Ribeirão Preto"	"55"	"População"	"Não possui unidade"	"1980-2018"	33372	"2016"
"132"	"132"	"Cristais Paulista"	"Região de Governo de Franca"	"55"	"População"	"Não possui unidade"	"1980-2018"	8109	"2016"
"133"	"133"	"Cruzália"	"Região de Governo de Assis"	"55"	"População"	"Não possui unidade"	"1980-2018"	2172	"2016"
"134"	"134"	"Cruzeiro"	"Região de Governo de Cruzeiro"	"55"	"População"	"Não possui unidade"	"1980-2018"	78848	"2016"
"135"	"135"	"Cubatão"	"Região de Governo de Santos"	"55"	"População"	"Não possui unidade"	"1980-2018"	125047	"2016"
"136"	"136"	"Cunha"	"Região de Governo de Guaratinguetá"	"55"	"População"	"Não possui unidade"	"1980-2018"	21694	"2016"
"137"	"137"	"Descalvado"	"Região de Governo de São Carlos"	"55"	"População"	"Não possui unidade"	"1980-2018"	31923	"2016"
"138"	"138"	"Diadema"	"Região Metropolitana de São Paulo"	"55"	"População"	"Não possui unidade"	"1980-2018"	397868	"2016"
"139"	"139"	"Divinolândia"	"Região de Governo de São João da Boa Vista"	"55"	"População"	"Não possui unidade"	"1980-2018"	10993	"2016"
"140"	"140"	"Dobrada"	"Região de Governo de Araraquara"	"55"	"População"	"Não possui unidade"	"1980-2018"	8521	"2016"
"141"	"141"	"Dois Córregos"	"Região de Governo de Jaú"	"55"	"População"	"Não possui unidade"	"1980-2018"	26087	"2016"
"142"	"142"	"Dolcinópolis"	"Região de Governo de Jales"	"55"	"População"	"Não possui unidade"	"1980-2018"	2063	"2016"
"143"	"143"	"Dourado"	"Região de Governo de São Carlos"	"55"	"População"	"Não possui unidade"	"1980-2018"	8528	"2016"
"144"	"144"	"Dracena"	"Região de Governo de Dracena"	"55"	"População"	"Não possui unidade"	"1980-2018"	44396	"2016"
"145"	"145"	"Duartina"	"Região de Governo de Bauru"	"55"	"População"	"Não possui unidade"	"1980-2018"	12088	"2016"
"146"	"146"	"Dumont"	"Região de Governo de Ribeirão Preto"	"55"	"População"	"Não possui unidade"	"1980-2018"	9079	"2016"
"147"	"147"	"Echaporã"	"Região de Governo de Marília"	"55"	"População"	"Não possui unidade"	"1980-2018"	6253	"2016"
"148"	"148"	"Eldorado"	"Região de Governo de Registro"	"55"	"População"	"Não possui unidade"	"1980-2018"	14909	"2016"
"149"	"149"	"Elias Fausto"	"Região de Governo de Piracicaba"	"55"	"População"	"Não possui unidade"	"1980-2018"	16756	"2016"
"150"	"150"	"Embu das Artes"	"Região Metropolitana de São Paulo"	"55"	"População"	"Não possui unidade"	"1980-2018"	258917	"2016"
"151"	"151"	"Embu-Guaçu"	"Região Metropolitana de São Paulo"	"55"	"População"	"Não possui unidade"	"1980-2018"	65950	"2016"
"152"	"152"	"Estrela d'Oeste"	"Região de Governo de Fernandópolis"	"55"	"População"	"Não possui unidade"	"1980-2018"	8144	"2016"
"153"	"153"	"Estrela do Norte"	"Região de Governo de Presidente Prudente"	"55"	"População"	"Não possui unidade"	"1980-2018"	2656	"2016"
"154"	"154"	"Fartura"	"Região de Governo de Itapeva"	"55"	"População"	"Não possui unidade"	"1980-2018"	15497	"2016"
"155"	"155"	"Fernandópolis"	"Região de Governo de Fernandópolis"	"55"	"População"	"Não possui unidade"	"1980-2018"	65663	"2016"
"156"	"156"	"Fernando Prestes"	"Região de Governo de Araraquara"	"55"	"População"	"Não possui unidade"	"1980-2018"	5563	"2016"
"157"	"157"	"Ferraz de Vasconcelos"	"Região Metropolitana de São Paulo"	"55"	"População"	"Não possui unidade"	"1980-2018"	183163	"2016"
"158"	"158"	"Flora Rica"	"Região de Governo de Adamantina"	"55"	"População"	"Não possui unidade"	"1980-2018"	1641	"2016"
"159"	"159"	"Floreal"	"Região de Governo de Votuporanga"	"55"	"População"	"Não possui unidade"	"1980-2018"	2912	"2016"
"160"	"160"	"Flórida Paulista"	"Região de Governo de Adamantina"	"55"	"População"	"Não possui unidade"	"1980-2018"	12380	"2016"
"161"	"161"	"Florínia"	"Região de Governo de Assis"	"55"	"População"	"Não possui unidade"	"1980-2018"	2740	"2016"
"162"	"162"	"Franca"	"Região de Governo de Franca"	"55"	"População"	"Não possui unidade"	"1980-2018"	333405	"2016"
"163"	"163"	"Francisco Morato"	"Região Metropolitana de São Paulo"	"55"	"População"	"Não possui unidade"	"1980-2018"	166077	"2016"
"164"	"164"	"Franco da Rocha"	"Região Metropolitana de São Paulo"	"55"	"População"	"Não possui unidade"	"1980-2018"	144159	"2016"
"165"	"165"	"Gabriel Monteiro"	"Região de Governo de Araçatuba"	"55"	"População"	"Não possui unidade"	"1980-2018"	2698	"2016"
"166"	"166"	"Gália"	"Região de Governo de Marília"	"55"	"População"	"Não possui unidade"	"1980-2018"	6696	"2016"
"167"	"167"	"Garça"	"Região de Governo de Marília"	"55"	"População"	"Não possui unidade"	"1980-2018"	42712	"2016"
"168"	"168"	"Gastão Vidigal"	"Região de Governo de Araçatuba"	"55"	"População"	"Não possui unidade"	"1980-2018"	4563	"2016"
"169"	"169"	"General Salgado"	"Região de Governo de Araçatuba"	"55"	"População"	"Não possui unidade"	"1980-2018"	10679	"2016"
"170"	"170"	"Getulina"	"Região de Governo de Lins"	"55"	"População"	"Não possui unidade"	"1980-2018"	10807	"2016"
"171"	"171"	"Glicério"	"Região de Governo de Araçatuba"	"55"	"População"	"Não possui unidade"	"1980-2018"	4681	"2016"
"172"	"172"	"Guaiçara"	"Região de Governo de Lins"	"55"	"População"	"Não possui unidade"	"1980-2018"	11454	"2016"
"173"	"173"	"Guaimbê"	"Região de Governo de Lins"	"55"	"População"	"Não possui unidade"	"1980-2018"	5479	"2016"
"174"	"174"	"Guaíra"	"Região de Governo de Barretos"	"55"	"População"	"Não possui unidade"	"1980-2018"	38473	"2016"
"175"	"175"	"Guapiaçu"	"Região de Governo de São José do Rio Preto"	"55"	"População"	"Não possui unidade"	"1980-2018"	19753	"2016"
"176"	"176"	"Guapiara"	"Região de Governo de Itapeva"	"55"	"População"	"Não possui unidade"	"1980-2018"	17707	"2016"
"177"	"177"	"Guará"	"Região de Governo de Franca"	"55"	"População"	"Não possui unidade"	"1980-2018"	20421	"2016"
"178"	"178"	"Guaraçaí"	"Região de Governo de Andradina"	"55"	"População"	"Não possui unidade"	"1980-2018"	8434	"2016"
"179"	"179"	"Guaraci"	"Região de Governo de Barretos"	"55"	"População"	"Não possui unidade"	"1980-2018"	10589	"2016"
"180"	"180"	"Guarani d'Oeste"	"Região de Governo de Fernandópolis"	"55"	"População"	"Não possui unidade"	"1980-2018"	1942	"2016"
"181"	"181"	"Guarantã"	"Região de Governo de Lins"	"55"	"População"	"Não possui unidade"	"1980-2018"	6445	"2016"
"182"	"182"	"Guararapes"	"Região de Governo de Araçatuba"	"55"	"População"	"Não possui unidade"	"1980-2018"	31570	"2016"
"183"	"183"	"Guararema"	"Região Metropolitana de São Paulo"	"55"	"População"	"Não possui unidade"	"1980-2018"	27973	"2016"
"184"	"184"	"Guaratinguetá"	"Região de Governo de Guaratinguetá"	"55"	"População"	"Não possui unidade"	"1980-2018"	116020	"2016"
"185"	"185"	"Guareí"	"Região de Governo de Itapetininga"	"55"	"População"	"Não possui unidade"	"1980-2018"	15279	"2016"
"186"	"186"	"Guariba"	"Região de Governo de Ribeirão Preto"	"55"	"População"	"Não possui unidade"	"1980-2018"	37679	"2016"
"187"	"187"	"Guarujá"	"Região de Governo de Santos"	"55"	"População"	"Não possui unidade"	"1980-2018"	305938	"2016"
"188"	"188"	"Guarulhos"	"Região Metropolitana de São Paulo"	"55"	"População"	"Não possui unidade"	"1980-2018"	1300708	"2016"
"189"	"189"	"Guzolândia"	"Região de Governo de Araçatuba"	"55"	"População"	"Não possui unidade"	"1980-2018"	4970	"2016"
"190"	"190"	"Herculândia"	"Região de Governo de Tupã"	"55"	"População"	"Não possui unidade"	"1980-2018"	9036	"2016"
"191"	"191"	"Iacanga"	"Região de Governo de Bauru"	"55"	"População"	"Não possui unidade"	"1980-2018"	10820	"2016"
"192"	"192"	"Iacri"	"Região de Governo de Tupã"	"55"	"População"	"Não possui unidade"	"1980-2018"	6337	"2016"
"193"	"193"	"Ibaté"	"Região de Governo de São Carlos"	"55"	"População"	"Não possui unidade"	"1980-2018"	33192	"2016"
"194"	"194"	"Ibirá"	"Região de Governo de São José do Rio Preto"	"55"	"População"	"Não possui unidade"	"1980-2018"	11627	"2016"
"195"	"195"	"Ibirarema"	"Região de Governo de Assis"	"55"	"População"	"Não possui unidade"	"1980-2018"	7197	"2016"
"196"	"196"	"Ibitinga"	"Região de Governo de Araraquara"	"55"	"População"	"Não possui unidade"	"1980-2018"	56538	"2016"
"197"	"197"	"Ibiúna"	"Região de Governo de Sorocaba"	"55"	"População"	"Não possui unidade"	"1980-2018"	74364	"2016"
"198"	"198"	"Icém"	"Região de Governo de São José do Rio Preto"	"55"	"População"	"Não possui unidade"	"1980-2018"	7814	"2016"
"199"	"199"	"Iepê"	"Região de Governo de Presidente Prudente"	"55"	"População"	"Não possui unidade"	"1980-2018"	7799	"2016"
"200"	"200"	"Igaraçu do Tietê"	"Região de Governo de Jaú"	"55"	"População"	"Não possui unidade"	"1980-2018"	23817	"2016"
"201"	"201"	"Igarapava"	"Região de Governo de Franca"	"55"	"População"	"Não possui unidade"	"1980-2018"	28899	"2016"
"202"	"202"	"Igaratá"	"Região de Governo de São José dos Campos"	"55"	"População"	"Não possui unidade"	"1980-2018"	9122	"2016"
"203"	"203"	"Iguape"	"Região de Governo de Registro"	"55"	"População"	"Não possui unidade"	"1980-2018"	29158	"2016"
"204"	"204"	"Ilhabela"	"Região de Governo de Caraguatatuba"	"55"	"População"	"Não possui unidade"	"1980-2018"	31508	"2016"
"205"	"205"	"Indaiatuba"	"Região de Governo de Campinas"	"55"	"População"	"Não possui unidade"	"1980-2018"	229256	"2016"
"206"	"206"	"Indiana"	"Região de Governo de Presidente Prudente"	"55"	"População"	"Não possui unidade"	"1980-2018"	4796	"2016"
"207"	"207"	"Indiaporã"	"Região de Governo de Fernandópolis"	"55"	"População"	"Não possui unidade"	"1980-2018"	3866	"2016"
"208"	"208"	"Inúbia Paulista"	"Região de Governo de Adamantina"	"55"	"População"	"Não possui unidade"	"1980-2018"	3793	"2016"
